"Property Title","Property URL","Price (INR)","Price Per Sqft (INR)","Area (sqft)","Property Type","Locality","Highlights","Description","Posted By"
"Shop for sale in Chandni Chowk, Delhi","","3750000","156250","24","Shop","Chandni Chowk, Delhi","","",""
"Ready to move Office Space for sale in Connaught Place, Delhi","","150000000","39473","3800","Office Space","Connaught Place, Delhi","","",""
"Showroom for sale in East of Kailash, Delhi","","150000000","30000","5000","Showroom","East of Kailash, Delhi","","",""
"Ready to move Office Space for sale in Netaji Subhash Place, Delhi","","11500000","38333","300","Office Space","Netaji Subhash Place, Delhi","","",""
"Ready to move Office Space for sale in Netaji Subhash Place, Delhi","","15500000","31000","500","Office Space","Netaji Subhash Place, Delhi","","",""
"Showroom for sale in Vasant Kunj, Delhi","","90000000","75000","1200","Showroom","Vasant Kunj, Delhi","","",""
"Bare shell Office Space for sale in Jangpura Extension, Delhi","","33000000","136363","242","Office Space","Jangpura Extension, Delhi","","",""
"Bare shell Office Space for sale in Lajpat Nagar 3, Delhi","","24000000","13333","1800","Office Space","Lajpat Nagar 3, Delhi","","",""
"Showroom for sale in Sector 12 Dwarka, Delhi","","82500000","30555","2700","Showroom","Sector 12 Dwarka, Delhi","","",""
"Ready to move Office Space for sale in Sector 12 Dwarka, Delhi","","82500000","30555","2700","Office Space","Sector 12 Dwarka, Delhi","","",""
"Ready to move Office Space for sale in Pocket B, Sector 13 Dwarka, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-pocket-b-sector-13-dwarka-dwarka-delhi-3600-sq-ft-r1-spid-G80153049","34000000","11333","3000","Office Space","Pocket B, Sector 13 Dwarka, Delhi","","Beautiful luxury furnished office space in basement freehold avialable for sale in located sec-13 dwarka. Near secot 13 metor station only 5 minutes from walking distance.","Times Associates"
"Bare shell Office Space for sale in Mayur Vihar Phase 2, Delhi","https://www.99acres.com/bare-shell-office-space-for-sale-in-mayur-vihar-phase-2-east-delhi-600-sq-ft-spid-I83944434","16000000","26666","600","Office Space","Mayur Vihar Phase 2, Delhi, East Delhi","","Check out this bare shell office space in mayur vihar phase 2, east delhi for sale. Located inside the business park. This office space is situated in the commercial zone, the super built up area of the property is 600 sq.Ft. The office has plastered walls, and has doors. The space has marble flooring with central air conditioning. This commercial property is in a 4 floors building. The office ...","Guru Ji Associates"
"Ready to move Office Space for sale in Mayur Vihar Phase 2, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-mayur-vihar-phase-2-east-delhi-350-sq-ft-r2-spid-Z75248113","6000000","17142","350","Office Space","Mayur Vihar Phase 2, Delhi, East Delhi","Power Back-up","Check out this ready to move office space for sale in mayur vihar phase 2, east delhi. It comes under the commercial zone. The carpet area of the property is 350 sq.Ft. This commercial property boasts of 15 seats as minimum capacity. This building has 4 floors. It offers a public parking space. The building is ready to move and is aged 10 years. This office is available for 60 lac with freehold...","Guru Ji Associates"
"Ready to move Office Space for sale in Mayur Vihar Phase 2, Delhi","https://www.99acres.com/ready-to-move-office-space-for-sale-in-mayur-vihar-phase-2-east-delhi-250-sq-ft-r5-spid-L73453009","6000000","24000","250","Office Space","Mayur Vihar Phase 2, Delhi, East Delhi","","Find this ready to move office space for sale in mayur vihar phase 2, east delhi. It is a spacious property with 400 sq.Ft. As carpet area. The ready to move property comes with around 20 seats, 1 cabin. This building has 4 floors. It offers a public parking space. The building is aged 10 years. The price of the property is 60 lac and is available on freehold ownership. Additional details : The...","Guru Ji Associates"
