Property_Type,Transaction_Type,Location,latitude,longitude,Price,Area_sqft,Price_per_sqft,area_type,Construction_Status,Age_in_Years,Possession_Date,Furnishing_Status,Zoning,Facing,Overlooking,Pantry,Water_Availability_Status,Washrooms,Floor_Number,Total_Floors,Covered_Parking,Open_Parking,Open_Sides,Plot_Length,Plot_Breadth,Entrance_Width_ft,Road_Width_m
industrial building,sale,sector 4 noida,28.5836826,77.3229658,88500000.0,4400.0,20113.64,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Industrial,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,noida sector 18 metro noida,28.5705631,77.3266184,13500000.0,662.0,20392.75,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Main Road,Wet Pantry/Cafeteria,NotSpecified,2.0,1.0,4.0,0,2,1.0,40.0,85.0,12.0,24.0
shop,sale,dadri road noida,28.5566273,77.3257596,17400000.0,184.0,94565.22,Carpet Area,Ready to Move,0.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,1.0,0,0,1.0,40.0,85.0,20.0,24.0
industrial land,sale,rohini new delhi,28.719436,77.0672351,85000000.0,4725.0,17989.42,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial building,sale,block b sector 4 noida,28.4707522,77.5319152,750000000.0,8000.0,93750.0,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Industrial,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,noida extension greater noida,28.5706333,77.3272147,6090000.0,1107.0,5501.36,Super Area,Under Construction,-1.0,Jun '26,Not Specified,Not Specified,Not Specified,Pool,Dry Pantry/Cafeteria,NotSpecified,4.0,12.0,32.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sohna gurgaon,28.3241636,77.0848644,9000000.0,510.0,17647.06,Carpet Area,Ready to Move,12.5,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,6.0,0,0,1.0,40.0,85.0,15.0,24.0
land,sale,noida express way noida,28.5706333,77.3272147,70000000.0,3150.0,22222.22,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Commercial,North - East,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,19.8,159.0,12.0,24.0
office in it park/ sez,sale,noida express way noida,28.5706333,77.3272147,10000000.0,600.0,16666.67,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,East,Not Specified,Dry Pantry/Cafeteria,NotSpecified,2.0,1.0,4.0,1,0,1.0,40.0,85.0,12.0,24.0
office space,sale,sector 48 gurgaon,28.4104903,77.0394627,10000000.0,800.0,12500.0,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,East,Not Specified,Wet Pantry/Cafeteria,NotSpecified,9.0,1.0,4.0,0,6,1.0,40.0,85.0,12.0,24.0
land,sale,noida express way noida,28.5706333,77.3272147,10200000.0,4306.0,2368.79,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,North - East,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,98.4,43.7,12.0,24.0
office space,sale,sector 49 gurgaon,28.4128851,77.0498362,8800000.0,1200.0,7333.33,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,East,Not Specified,Wet Pantry/Cafeteria,NotSpecified,6.0,1.0,4.0,2,0,1.0,40.0,85.0,12.0,24.0
shop,sale,splendor onyx noida,28.5706333,77.3272147,900000.0,200.0,4500.0,Carpet Area,Under Construction,-1.0,Jun '27,Semi-Furnished,Not Specified,North - East,Not Specified,Not Specified,NotSpecified,2.0,1.0,19.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial building,sale,b block sector 63 noida,28.6197533,77.3703883,185000000.0,10763.9,17187.08,Super Area,Ready to Move,2.5,Not Specified,Not Specified,Industrial,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,okhla phase 1 new delhi,28.5470861,77.3135343,44500000.0,3200.0,13906.25,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Wet Pantry/Cafeteria,NotSpecified,2.0,4.0,8.0,0,2,1.0,40.0,85.0,12.0,24.0
shop,sale,nai walan new delhi,28.6328027,77.2197713,75000000.0,1700.0,44117.65,Carpet Area,Ready to Move,0.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,5.0,0,0,1.0,40.0,85.0,8.0,24.0
shop,sale,tigaon faridabad,28.3508902,77.3965287,3000000.0,360.0,8333.33,Super Area,Ready to Move,-1.0,Not Specified,Semi-Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,2.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,laxmi nagar new delhi,28.576794,77.2062778,2600000.0,80.0,32500.0,Carpet Area,Ready to Move,2.5,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
land,sale,chander vihar nilothi new delhi,28.6328027,77.2197713,130000.0,625.0,208.0,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
land,sale,old palam road new delhi,28.5777707,77.1036096,34000000.0,1197.0,28404.34,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,greater noida west noida,28.5642539,77.4739447,3000000.0,440.0,6818.18,Super Area,Ready to Move,0.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Wet Pantry/Cafeteria,NotSpecified,2.0,2.0,2.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial shed,sale,noida express way noida,28.5706333,77.3272147,67500000.0,4843.76,13935.46,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Industrial,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,phase 1 udyog vihar gurgaon,28.5048174,77.0839702,3500000000.0,400000.0,8750.0,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Garden/Park,Wet Pantry/Cafeteria,NotSpecified,10.0,1.0,4.0,600,0,1.0,40.0,85.0,12.0,24.0
industrial building,sale,sector 63 noida,28.620768,77.381494,75000000.0,10000.0,7500.0,Super Area,Ready to Move,2.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,sector 22 dwarka new delhi,28.5579591,77.0580701,4500000.0,168.0,26785.71,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,East,Main Road,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial land,sale,phase 5 udyog vihar gurgaon,28.5048174,77.0839702,120000000.0,3402.0,35273.37,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 65 gurgaon,28.4030162,77.0695893,10000000.0,535.0,18691.59,Super Area,Ready to Move,2.5,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,2.0,22.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 43 gurgaon,28.4548735,77.0858864,5500000.0,200.0,27500.0,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,1.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,sector 67 gurgaon,28.3864052,77.0598046,3400000.0,210.0,16190.48,Carpet Area,Ready to Move,0.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,1.0,11.0,12.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 143 faridabad,28.3209245,77.2981096,5600000.0,187.0,29946.52,Carpet Area,Ready to Move,0.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,3.0,0,0,1.0,40.0,85.0,11.0,24.0
land,sale,delhi gurgaon expressway gurgaon,28.4831817,76.9873663,300000000.0,9000.0,33333.33,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Commercial,South - East,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,105.0,85.7,12.0,24.0
office space,sale,mehrauli gurgaon road gurgaon,28.4657505,77.0393358,15300000.0,720.0,21250.0,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Garden/Park,Wet Pantry/Cafeteria,NotSpecified,2.0,1.0,4.0,2,0,1.0,40.0,85.0,12.0,24.0
land,sale,khandsa road gurgaon,28.4533282,77.0195396,55000000.0,2007.0,27404.09,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,noida express way noida,28.5706333,77.3272147,1800000.0,120.0,15000.0,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,3.0,31.0,50.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,sector 56 gurgaon,28.4253232,77.0985157,11000000.0,470.0,23404.26,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,3.0,1.0,2.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 14 gurgaon,28.473784,77.0471827,3500000.0,68.0,51470.59,Super Area,Ready to Move,-1.0,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,3.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 75 noida,28.4716932,77.5313411,6000000.0,240.0,25000.0,Super Area,Ready to Move,0.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,-2.0,7.0,0,0,1.0,40.0,85.0,12.0,24.0
land,sale,najafgarh new delhi,28.6059739,77.0479506,93500000.0,1320.0,70833.33,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 75 noida,28.4716932,77.5313411,12200000.0,400.0,30500.0,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,East,Not Specified,Not Specified,NotSpecified,2.0,-1.0,5.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,block 1 sector alpha 2 greater noida,28.5706333,77.3272147,9500000.0,150.0,63333.33,Carpet Area,Ready to Move,0.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,12.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 93 gurgaon,28.4156048,76.931638,18200000.0,520.0,35000.0,Super Area,Under Construction,-1.0,Oct '25,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,2.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,daryaganj new delhi,28.6301065,77.2174139,6000000.0,500.0,12000.0,Super Area,Ready to Move,-1.0,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,1.0,2.0,3.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,shakarpur new delhi,28.63739,77.270725,2500000.0,150.0,16666.67,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,1.0,2.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,noida extension greater noida,28.5706333,77.3272147,3500000.0,80.0,43750.0,Carpet Area,Ready to Move,0.0,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,2.0,18.0,0,0,1.0,40.0,85.0,7.0,24.0
office space,sale,boleward walk greater noida,28.5706333,77.3272147,12500000.0,916.0,13646.29,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,8.0,22.0,35.0,0,0,1.0,40.0,85.0,12.0,24.0
showroom,sale,beta 2 greater noida,28.4848659,77.5134595,7600000.0,590.0,12881.36,Carpet Area,Ready to Move,2.5,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,3.0,0,0,1.0,40.0,85.0,25.0,24.0
office space,sale,sector 58 gurgaon,28.4160012,77.1085564,18000000.0,600.0,30000.0,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,East,Not Specified,Dry Pantry/Cafeteria,NotSpecified,1.0,1.0,4.0,1,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 89 faridabad,28.4210246,77.3667617,10000000.0,312.0,32051.28,Carpet Area,Ready to Move,0.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,1.0,0,0,1.0,40.0,85.0,11.0,24.0
office space,sale,mayur vihar 1 new delhi,28.6328027,77.2197713,9500000.0,630.0,15079.37,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Garden/Park,Wet Pantry/Cafeteria,NotSpecified,1.0,2.0,3.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,sarojini nagar new delhi,28.575817,77.1980786,385000000.0,4500.0,85555.56,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Main Road,Wet Pantry/Cafeteria,NotSpecified,3.0,1.0,4.0,3,0,1.0,40.0,85.0,12.0,24.0
shop,sale,raj nagar extension ghaziabad,28.685628,77.400277,2700000.0,25.0,108000.0,Carpet Area,Ready to Move,0.0,Not Specified,Semi-Furnished,Not Specified,North - East,Not Specified,Not Specified,NotSpecified,2.0,3.0,6.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial land,sale,mandoli new delhi,28.5033155,77.1787621,20000000.0,1800.0,11111.11,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial building,sale,block a phase 2 noida noida,28.5911591,77.3525353,70000000.0,4467.02,15670.4,Super Area,Ready to Move,2.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 140a noida,28.5097759,77.4211609,43099999.0,1540.0,27987.01,Super Area,Under Construction,-1.0,Nov '27,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,gtb enclave new delhi,28.6328027,77.2197713,9000000.0,216.0,41666.67,Carpet Area,Ready to Move,0.0,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,2.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,bahadur shah zafar marg new delhi,28.6261651,77.2409053,7700000.0,385.0,20000.0,Super Area,Ready to Move,25.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,1.0,2.0,2.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,akd tower sector 14 gurgaon gurgaon,28.4646148,77.0299194,7000000.0,200.0,35000.0,Carpet Area,Ready to Move,7.5,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,2.0,3.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,sector 20 dwarka new delhi,28.5592725,77.0666248,6859999.0,312.0,21987.18,Super Area,Ready to Move,-1.0,Not Specified,Semi-Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,1.0,1.0,4.0,0,20,1.0,40.0,85.0,12.0,24.0
industrial land,sale,manesar gurgaon,28.3247096,76.9263787,76500000.0,4844.0,15792.73,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,328.0,14.8,12.0,24.0
industrial land,sale,sector 57 faridabad,28.3209245,77.2981096,28000000.0,5580.0,5017.92,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,faridabad noida ghaziabad expressway noida,28.5948142,77.40632,2500000.0,500.0,5000.0,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Garden/Park,Not Specified,NotSpecified,5.0,5.0,14.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,vishnu garden new delhi,28.6328027,77.2197713,4200000.0,80.0,52500.0,Carpet Area,Ready to Move,17.5,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,2.0,0,0,1.0,40.0,85.0,7.0,24.0
shop,sale,sector 57 gurgaon,28.4232478,77.0804487,83300000.0,2000.0,41650.0,Super Area,Under Construction,-1.0,Aug '26,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 86 gurgaon,28.3981205,76.9411257,15000000.0,382.0,39267.02,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,1.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,bptp district walk d sec 84 faridabad,28.4031478,77.3105561,7000000.0,450.0,15555.56,Carpet Area,Under Construction,-1.0,Jun '27,Unfurnished,Not Specified,East,Not Specified,Not Specified,NotSpecified,2.0,2.0,2.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 15 gurgaon,28.3843199,76.9122326,11000000.0,100.0,110000.0,Super Area,Ready to Move,-1.0,Not Specified,Semi-Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,2.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 85 gurgaon,28.403652,76.9531428,9000000.0,506.0,17786.56,Super Area,Ready to Move,2.5,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,dabri new delhi,28.6098834,77.0822918,3500000.0,165.0,21212.12,Super Area,Ready to Move,-1.0,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,5.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,panchsheel park new delhi,28.5439937,77.2102581,55000000.0,2400.0,22916.67,Super Area,Ready to Move,17.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,khan market new delhi,28.5995141,77.2259785,40000000.0,200.0,200000.0,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,1.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,dilshad garden new delhi,28.6328027,77.2197713,42000000.0,780.0,53846.15,Super Area,Ready to Move,7.5,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,1.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,vikaspuri new delhi,28.6379544,77.0713693,17000000.0,1350.0,12592.59,Carpet Area,Ready to Move,25.0,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,rdc ghaziabad,28.6749145,77.4414553,3000000.0,495.0,6060.61,Super Area,Ready to Move,-1.0,Not Specified,Semi-Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,5.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 77 noida,28.4711991,77.5307605,18000000.0,723.0,24896.27,Super Area,Ready to Move,2.5,Not Specified,Unfurnished,Commercial,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,2.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,knowledge park 3 greater noida,28.478588,77.4813689,10300000.0,792.0,13005.05,Carpet Area,Under Construction,-1.0,Dec '25,Unfurnished,Not Specified,North,Not Specified,Not Specified,NotSpecified,2.0,4.0,8.0,0,0,1.0,40.0,85.0,12.0,24.0
showroom,sale,rohtak road new delhi,28.6560982,77.197362,180000000.0,18000.0,10000.0,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,5.0,5.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,rohtak road new delhi,28.6560982,77.197362,2000000.0,337.0,5934.72,Super Area,Ready to Move,7.5,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,1.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
land,sale,rohini new delhi,28.719436,77.0672351,100000000.0,4500.0,22222.22,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,national highway 24 ghaziabad,28.6323996,77.3708728,7200000.0,544.0,13235.29,Super Area,Under Construction,-1.0,Sep '25,Unfurnished,Not Specified,North - East,Not Specified,Not Specified,NotSpecified,2.0,3.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 14 rohini new delhi,28.6328027,77.2197713,13500000.0,200.0,67500.0,Super Area,Ready to Move,-1.0,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,2.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,chandni chowk new delhi,28.6328027,77.2197713,4500000.0,200.0,22500.0,Carpet Area,Ready to Move,17.5,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,2.0,3.0,0,0,1.0,40.0,85.0,8.0,24.0
warehouse/ godown,sale,main mathura roax faridabad,28.4031478,77.3105561,200000.0,20000.0,10.0,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,1.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,anand vihar new delhi,28.5786334,77.1612059,7500000.0,81.0,92592.59,Carpet Area,Ready to Move,7.5,Not Specified,Furnished,Not Specified,South,Not Specified,Not Specified,NotSpecified,2.0,0.0,1.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial land,sale,dadha greater noida,28.5706333,77.3272147,23900000.0,21500.0,1111.63,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,greater noida west link road greater noida,28.5642539,77.4739447,5500000.0,250.0,22000.0,Super Area,Ready to Move,2.5,Not Specified,Furnished,Commercial,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,-2.0,5.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,raj nagar extension ghaziabad,28.685628,77.400277,13000000.0,463.0,28077.75,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,8.0,0,0,1.0,40.0,85.0,12.0,24.0
showroom,sale,block a sushant lok phase 1 gurgaon,28.4646148,77.0299194,89200000.0,1047.0,85195.8,Carpet Area,Ready to Move,2.5,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,24Hours,2.0,0.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
showroom,sale,mathura road faridabad,28.3650553,77.314851,25000000.0,2100.0,11904.76,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,3.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,noida sector 18 metro noida,28.5705631,77.3266184,9830000.0,546.0,18003.66,Super Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Main Road,Dry Pantry/Cafeteria,NotSpecified,1.0,1.0,4.0,1,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 86 gurgaon,28.3981205,76.9411257,3800000.0,279.0,13620.07,Super Area,Ready to Move,7.5,Not Specified,Furnished,Commercial,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,3.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,block d chittaranjan park new delhi,28.6328027,77.2197713,12500000.0,1100.0,11363.64,Super Area,Ready to Move,-1.0,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,0.0,3.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,laxmi nagar new delhi,28.576794,77.2062778,3600000.0,300.0,12000.0,Super Area,Ready to Move,12.5,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,1.0,3.0,5.0,0,0,1.0,40.0,85.0,12.0,24.0
shop,sale,sector 46 south city 2 gurgaon,28.4646148,77.0299194,10000000.0,187.0,53475.94,Carpet Area,Ready to Move,17.5,Not Specified,Furnished,Not Specified,Not Specified,Not Specified,Not Specified,24Hours,2.0,1.0,1.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,noida city centre metro noida,28.5752716,77.3561487,10100000.0,405.0,24938.27,Carpet Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,East,Main Road,Not Specified,NotSpecified,2.0,1.0,4.0,1,0,1.0,40.0,85.0,12.0,24.0
office space,sale,sector 71 gurgaon,28.4064564,77.0233125,40000000.0,632.0,63291.14,Super Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,15.0,18.0,0,0,1.0,40.0,85.0,12.0,24.0
industrial land,sale,manesar gurgaon,28.3247096,76.9263787,140000000.0,43560.0,3213.96,Plot Area,Ready to Move,-1.0,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,2.0,1.0,4.0,0,0,1.0,40.0,85.0,12.0,24.0
office space,sale,noida express way noida,28.5706333,77.3272147,2500000.0,30.0,83333.33,Carpet Area,Ready to Move,-1.0,Not Specified,Unfurnished,Not Specified,Not Specified,Not Specified,Not Specified,NotSpecified,1.0,43.0,45.0,0,0,1.0,40.0,85.0,12.0,24.0
